chromosome	left	right	locus_tag	gene_name	strand	feature	completeness	name	offset	type
NC_002516.2	322174	323560	control	control	+	gene	complete	304_PA0287_Ctrl_107	107	control
NC_002516.2	325699	326671	control	control	+	gene	complete	836_PA0290_Ctrl_80	80	control
NC_002516.2	331033	331699	control	control	-	gene	complete	326_PA0294_Ctrl_109	109	control
NC_002516.2	333078	334455	control	control	-	gene	complete	759_PA0296_Ctrl_681	681	control
NC_002516.2	355247	356477	control	control	-	gene	complete	403_PA0316_Ctrl_61	61	control
NC_002516.2	360412	361447	control	control	-	gene	complete	936_PA0321_Ctrl_31	31	control
NC_002516.2	364368	365157	control	control	-	gene	complete	137_PA0324_Ctrl_118	118	control
NC_002516.2	364368	365157	control	control	-	gene	complete	576_PA0324_Ctrl_48	48	control
NC_002516.2	365153	366083	control	control	-	gene	complete	826_PA0325_Ctrl_115	115	control
NC_002516.2	368461	370405	control	control	-	gene	complete	404_PA0328_Ctrl_11	11	control
NC_002516.2	370705	371038	control	control	-	gene	complete	716_PA0329_Ctrl_63	63	control
NC_002516.2	372090	373605	control	control	+	gene	complete	837_PA0331_Ctrl_99	99	control
NC_002516.2	382913	383717	control	control	+	gene	complete	829_PA0340_Ctrl_41	41	control
NC_002516.2	383726	384527	control	control	+	gene	complete	64_PA0341_Ctrl_41	41	control
NC_002516.2	394441	395827	control	control	-	gene	complete	513_PA0352_Ctrl_58	58	control
NC_002516.2	406618	407098	control	control	-	gene	complete	41_PA0363_Ctrl_7	7	control
NC_002516.2	406618	407098	control	control	-	gene	complete	409_PA0363_Ctrl_108	108	control
NC_002516.2	411223	411871	control	control	+	gene	complete	942_PA0367_Ctrl_1	1	control
NC_002516.2	419561	420569	control	control	+	gene	complete	688_PA0375_Ctrl_11	11	control
NC_002516.2	422979	423357	control	control	+	gene	complete	877_PA0379_Ctrl_47	47	control
NC_002516.2	425503	426850	control	control	+	gene	complete	973_PA0383_Ctrl_24	24	control
NC_002516.2	430629	431769	control	control	-	gene	complete	957_PA0390_Ctrl_5	5	control
NC_002516.2	444686	445691	control	control	-	gene	complete	475_PA0402_Ctrl_103	103	control
NC_002516.2	447390	448350	control	control	-	gene	complete	736_PA0406_Ctrl_19	19	control
NC_002516.2	449638	450046	control	control	+	gene	complete	985_PA0408_Ctrl_152	152	control
NC_002516.2	477885	479805	control	control	-	gene	complete	966_PA0428_Ctrl_6	6	control
NC_002516.2	480055	481126	control	control	-	gene	complete	82_PA0429_Ctrl_6	6	control
NC_002516.2	508958	509753	control	control	+	gene	complete	703_PA0452_Ctrl_17	17	control
NC_002516.2	523253	523943	control	control	+	gene	complete	163_PA0463_Ctrl_2	2	control
NC_002516.2	526876	527179	control	control	+	gene	complete	254_PA0466_Ctrl_66	66	control
NC_002516.2	534195	534945	control	control	+	gene	complete	412_PA0473_Ctrl_2	2	control
NC_002516.2	535084	535489	control	control	+	gene	complete	768_PA0474_Ctrl_27	27	control
NC_002516.2	535538	536108	control	control	+	gene	complete	216_PA0475_Ctrl_7	7	control
NC_002516.2	542169	544347	control	control	-	gene	complete	386_PA0482_Ctrl_123	123	control
NC_002516.2	545128	545644	control	control	+	gene	complete	444_PA0484_Ctrl_77	77	control
NC_002516.2	545128	545644	control	control	+	gene	complete	972_PA0484_Ctrl_77	77	control
NC_002516.2	547431	548406	control	control	-	gene	complete	823_PA0486_Ctrl_27	27	control
NC_002516.2	550866	551793	control	control	-	gene	complete	91_PA0491_Ctrl_7	7	control
NC_002516.2	556274	557276	control	control	-	gene	complete	976_PA0497_Ctrl_66	66	control
NC_002516.2	562005	562728	control	control	+	gene	complete	588_PA0502_Ctrl_12	12	control
NC_002516.2	575515	576040	control	control	-	gene	complete	673_PA0514_Ctrl_29	29	control
NC_002516.2	576497	577676	control	control	-	gene	complete	755_PA0516_Ctrl_55	55	control
NC_002516.2	583856	585695	control	control	+	gene	complete	744_PA0525_Ctrl_41	41	control
NC_002516.2	587016	587895	control	control	-	gene	complete	763_PA0528_Ctrl_63	63	control
NC_002516.2	593272	594562	control	control	+	gene	complete	592_PA0534_Ctrl_9	9	control
NC_002516.2	599756	600176	control	control	-	gene	complete	605_PA0542_Ctrl_51	51	control
NC_002516.2	610213	611275	control	control	+	gene	complete	506_PA0551_Ctrl_1	1	control
NC_002516.2	612516	612717	control	control	+	gene	complete	986_PA0553_Ctrl_45	45	control
NC_002516.2	612876	613218	control	control	+	gene	complete	377_PA0554_Ctrl_59	59	control
NC_002516.2	615606	616374	control	control	+	gene	complete	855_PA0558_Ctrl_11	11	control
NC_002516.2	616370	617549	control	control	-	gene	complete	32_PA0559_Ctrl_33	33	control
NC_002516.2	619331	620006	control	control	-	gene	complete	719_PA0562_Ctrl_69	69	control
NC_002516.2	620665	621577	control	control	-	gene	complete	431_PA0564_Ctrl_95	95	control
NC_002516.2	620665	621577	control	control	-	gene	complete	537_PA0564_Ctrl_64	64	control
NC_002516.2	620665	621577	control	control	-	gene	complete	712_PA0564_Ctrl_37	37	control
NC_002516.2	622022	622538	control	control	-	gene	complete	417_PA0566_Ctrl_54	54	control
NC_002516.2	622893	623352	control	control	-	gene	complete	552_PA0568_Ctrl_96	96	control
NC_002516.2	623851	624199	control	control	-	gene	complete	923_PA0570_Ctrl_44	44	control
NC_002516.2	624993	627765	control	control	-	gene	complete	116_PA0572_Ctrl_7	7	control
NC_002516.2	648930	649263	control	control	-	gene	complete	595_PA0589_Ctrl_86	86	control
NC_002516.2	650157	650538	control	control	-	gene	complete	529_PA0591_Ctrl_87	87	control
NC_002516.2	662753	663386	control	control	+	gene	complete	309_PA0601_Ctrl_104	104	control
NC_002516.2	667107	668355	control	control	+	gene	complete	15_PA0605_Ctrl_32	32	control
NC_002516.2	667107	668355	control	control	+	gene	complete	66_PA0605_Ctrl_8	8	control
NC_002516.2	667107	668355	control	control	+	gene	complete	397_PA0605_Ctrl_105	105	control
NC_002516.2	669414	670089	control	control	+	gene	complete	494_PA0607_Ctrl_83	83	control
NC_002516.2	672776	673091	control	control	-	gene	complete	330_PA0610_Ctrl_29	29	control
NC_002516.2	678285	678819	control	control	+	gene	complete	692_PA0619_Ctrl_67	67	control
NC_002516.2	682566	683070	control	control	+	gene	complete	437_PA0623_Ctrl_10	10	control
NC_002516.2	685845	686718	control	control	+	gene	complete	554_PA0626_Ctrl_53	53	control
NC_002516.2	690042	690390	control	control	+	gene	complete	287_PA0634_Ctrl_192	192	control
NC_002516.2	690042	690390	control	control	+	gene	complete	519_PA0634_Ctrl_71	71	control
NC_002516.2	690720	692556	control	control	+	gene	complete	944_PA0636_Ctrl_113	113	control
NC_002516.2	700834	701170	control	control	+	gene	complete	858_PA0644_Ctrl_22	22	control
NC_002516.2	701150	701381	control	control	+	gene	complete	914_PA0645_Ctrl_74	74	control
NC_002516.2	709698	711180	control	control	+	gene	complete	365_PA0657_Ctrl_30	30	control
NC_002516.2	711219	712020	control	control	-	gene	complete	531_PA0658_Ctrl_5	5	control
NC_002516.2	712080	713157	control	control	-	gene	complete	667_PA0659_Ctrl_66	66	control
NC_002516.2	717634	718726	control	control	-	gene	complete	364_PA0666_Ctrl_58	58	control
NC_002516.2	717634	718726	control	control	-	gene	complete	965_PA0666_Ctrl_58	58	control
NC_002516.2	720356	721556	control	control	+	gene	complete	7_PA0668_Ctrl_57	57	control
NC_002516.2	737080	737530	control	control	-	gene	complete	590_PA0678_Ctrl_72	72	control
NC_002516.2	737080	737530	control	control	-	gene	complete	683_PA0678_Ctrl_11	11	control
NC_002516.2	738110	738485	control	control	-	gene	complete	310_PA0680_Ctrl_6	6	control
NC_002516.2	739175	740141	control	control	+	gene	complete	813_PA0682_Ctrl_2	2	control
NC_002516.2	740202	741348	control	control	+	gene	complete	748_PA0683_Ctrl_103	103	control
NC_002516.2	741924	744336	control	control	+	gene	complete	758_PA0685_Ctrl_43	43	control
NC_002516.2	749956	762499	control	control	+	gene	complete	984_PA0690_Ctrl_60	60	control
NC_002516.2	770846	771326	control	control	+	gene	complete	65_PA0698_Ctrl_50	50	control
NC_002516.2	780193	780973	control	control	-	gene	complete	982_PA0707_Ctrl_87	87	control
NC_002516.2	782228	782525	control	control	+	gene	complete	981_PA0709_Ctrl_62	62	control
NC_002516.2	783575	783833	control	control	-	gene	complete	118_PA0712_Ctrl_39	39	control
NC_002516.2	790985	791234	control	control	+	gene	complete	518_PA0723_Ctrl_29	29	control
NC_002516.2	791369	792632	control	control	+	gene	complete	264_PA0724_Ctrl_103	103	control
NC_002516.2	799278	800016	control	control	-	gene	complete	136_PA0731_Ctrl_5	5	control
NC_002516.2	805787	806702	control	control	-	gene	complete	275_PA0739_Ctrl_112	112	control
NC_002516.2	809573	810218	control	control	-	gene	complete	370_PA0742_Ctrl_90	90	control
NC_002516.2	809573	810218	control	control	-	gene	complete	871_PA0742_Ctrl_70	70	control
NC_002516.2	813328	814492	control	control	-	gene	complete	818_PA0746_Ctrl_49	49	control
NC_002516.2	814503	816012	control	control	-	gene	complete	581_PA0747_Ctrl_80	80	control
NC_002516.2	818824	819862	control	control	-	gene	complete	701_PA0751_Ctrl_54	54	control
NC_002516.2	821382	821853	control	control	-	gene	complete	515_PA0753_Ctrl_88	88	control
NC_002516.2	835522	837322	control	control	+	gene	complete	127_PA0767_Ctrl_2	2	control
NC_002516.2	845792	848192	control	control	-	gene	complete	717_PA0779_Ctrl_93	93	control
NC_002516.2	849255	851319	control	control	-	gene	complete	189_PA0781_Ctrl_27	27	control
NC_002516.2	870248	872855	control	control	-	gene	complete	925_PA0794_Ctrl_16	16	control
NC_002516.2	874205	875102	control	control	-	gene	complete	455_PA0796_Ctrl_81	81	control
NC_002516.2	879556	881077	control	control	+	gene	complete	191_PA0801_Ctrl_26	26	control
NC_002516.2	886159	887476	control	control	-	gene	complete	568_PA0809_Ctrl_26	26	control
NC_002516.2	889558	890854	control	control	-	gene	complete	521_PA0812_Ctrl_75	75	control
NC_002516.2	893040	893994	control	control	+	gene	complete	378_PA0815_Ctrl_105	105	control
NC_002516.2	918616	919240	control	control	-	gene	complete	773_PA0843_Ctrl_54	54	control
NC_002516.2	929513	930476	control	control	-	gene	complete	357_PA0851_Ctrl_5	5	control
NC_002516.2	935988	936294	control	control	+	gene	complete	140_PA0857_Ctrl_104	104	control
NC_002516.2	955990	958186	control	control	-	gene	complete	80_PA0875_Ctrl_68	68	control
NC_002516.2	958405	959350	control	control	+	gene	complete	297_PA0876_Ctrl_72	72	control
NC_002516.2	958405	959350	control	control	+	gene	complete	597_PA0876_Ctrl_12	12	control
NC_002516.2	961369	962530	control	control	+	gene	complete	555_PA0879_Ctrl_62	62	control
NC_002516.2	968204	969488	control	control	+	gene	complete	302_PA0886_Ctrl_36	36	control
NC_002516.2	969669	971625	control	control	+	gene	complete	198_PA0887_Ctrl_24	24	control
NC_002516.2	969669	971625	control	control	+	gene	complete	708_PA0887_Ctrl_24	24	control
NC_002516.2	981421	982888	control	control	+	gene	complete	338_PA0898_Ctrl_56	56	control
NC_002516.2	981421	982888	control	control	+	gene	complete	729_PA0898_Ctrl_56	56	control
NC_002516.2	991467	991544	control	control	+	gene	complete	746_PA0905.2_Ctrl_65	65	control
NC_002516.2	991829	992543	control	control	-	gene	complete	70_PA0906_Ctrl_120	120	control
NC_002516.2	991829	992543	control	control	-	gene	complete	339_PA0906_Ctrl_42	42	control
NC_002516.2	992713	993244	control	control	+	gene	complete	435_PA0907_Ctrl_57	57	control
NC_002516.2	1015937	1016657	control	control	+	gene	complete	204_PA0929_Ctrl_55	55	control
NC_002516.2	1028171	1029500	control	control	+	gene	complete	233_PA0938_Ctrl_107	107	control
NC_002516.2	1050300	1051047	control	control	+	gene	complete	466_PA0964_Ctrl_101	101	control
NC_002516.2	1052288	1053347	control	control	+	gene	complete	81_PA0967_Ctrl_92	92	control
NC_002516.2	1055008	1056052	control	control	+	gene	complete	282_PA0971_Ctrl_89	89	control
NC_002516.2	1065969	1066296	control	control	+	gene	complete	470_PA0984_Ctrl_77	77	control
NC_002516.2	1069768	1070173	control	control	+	gene	complete	939_PA0988_Ctrl_76	76	control
NC_002516.2	1073959	1074673	control	control	+	gene	complete	162_PA0993_Ctrl_13	13	control
NC_002516.2	1074783	1077303	control	control	+	gene	complete	167_PA0994_Ctrl_41	41	control
NC_002516.2	1095275	1096034	control	control	+	gene	complete	257_PA1012_Ctrl_33	33	control
NC_002516.2	1096062	1096773	control	control	+	gene	complete	485_PA1013_Ctrl_27	27	control
NC_002516.2	1098327	1099128	control	control	-	gene	complete	649_PA1015_Ctrl_30	30	control
NC_002516.2	1099668	1100820	control	control	+	gene	complete	782_PA1016_Ctrl_2	2	control
NC_002516.2	1104008	1105364	control	control	+	gene	complete	998_PA1019_Ctrl_111	111	control
NC_002516.2	1105387	1105795	control	control	+	gene	complete	730_PA1019a_Ctrl_2	2	control
NC_002516.2	1107762	1108908	control	control	+	gene	complete	13_PA1022_Ctrl_87	87	control
NC_002516.2	1109881	1110868	control	control	+	gene	complete	618_PA1024_Ctrl_84	84	control
NC_002516.2	1126968	1127601	control	control	+	gene	complete	87_PA1041_Ctrl_88	88	control
NC_002516.2	1153636	1155547	control	control	+	gene	complete	72_PA1068_Ctrl_46	46	control
NC_002516.2	1157953	1158655	control	control	-	gene	complete	349_PA1070_Ctrl_162	162	control
NC_002516.2	1161855	1162977	control	control	-	gene	complete	232_PA1074_Ctrl_48	48	control
NC_002516.2	1176379	1176982	control	control	+	gene	complete	709_PA1089_Ctrl_110	110	control
NC_002516.2	1184602	1184974	control	control	+	gene	complete	445_PA1093_Ctrl_26	26	control
NC_002516.2	1197389	1197833	control	control	+	gene	complete	980_PA1105_Ctrl_141	141	control
NC_002516.2	1202916	1203540	control	control	+	gene	complete	90_PA1111_Ctrl_63	63	control
NC_002516.2	1205106	1205298	control	control	-	gene	complete	624_PA1112b_Ctrl_50	50	control
NC_002516.2	1210557	1211397	control	control	+	gene	complete	727_PA1116_Ctrl_165	165	control
NC_002516.2	1216670	1218167	control	control	+	gene	complete	676_PA1124_Ctrl_38	38	control
NC_002516.2	1237550	1238732	control	control	-	gene	complete	197_PA1146_Ctrl_100	100	control
NC_002516.2	1240583	1242500	control	control	-	gene	complete	630_PA1148_Ctrl_7	7	control
NC_002516.2	1245664	1245928	control	control	+	gene	complete	400_PA1151_Ctrl_144	144	control
NC_002516.2	1247931	1248486	control	control	-	gene	complete	471_PA1153_Ctrl_12	12	control
NC_002516.2	1247931	1248486	control	control	-	gene	complete	690_PA1153_Ctrl_118	118	control
NC_002516.2	1260556	1263166	control	control	-	gene	complete	956_PA1163_Ctrl_28	28	control
NC_002516.2	1269780	1270515	control	control	-	gene	complete	219_PA1170_Ctrl_39	39	control
NC_002516.2	1270971	1272168	control	control	+	gene	complete	990_PA1171_Ctrl_32	32	control
NC_002516.2	1277687	1278365	control	control	+	gene	complete	161_PA1179_Ctrl_156	156	control
NC_002516.2	1289964	1291146	control	control	+	gene	complete	286_PA1188_Ctrl_83	83	control
NC_002516.2	1292570	1293164	control	control	-	gene	complete	528_PA1191_Ctrl_68	68	control
NC_002516.2	1294137	1294809	control	control	+	gene	complete	776_PA1193_Ctrl_36	36	control
NC_002516.2	1310687	1311386	control	control	-	gene	complete	86_PA1210_Ctrl_39	39	control
NC_002516.2	1311503	1312139	control	control	-	gene	complete	362_PA1211_Ctrl_101	101	control
NC_002516.2	1312135	1313365	control	control	-	gene	complete	931_PA1212_Ctrl_110	110	control
NC_002516.2	1314317	1315916	control	control	-	gene	complete	373_PA1214_Ctrl_13	13	control
NC_002516.2	1320993	1322256	control	control	-	gene	complete	281_PA1220_Ctrl_100	100	control
NC_002516.2	1322252	1324109	control	control	-	gene	complete	55_PA1221_Ctrl_42	42	control
NC_002516.2	1331516	1331714	control	control	+	gene	complete	322_PA1230_Ctrl_49	49	control
NC_002516.2	1331516	1331714	control	control	+	gene	complete	894_PA1230_Ctrl_7	7	control
NC_002516.2	1335644	1336427	control	control	+	gene	complete	434_PA1235_Ctrl_47	47	control
NC_002516.2	1360697	1362278	control	control	-	gene	complete	707_PA1253_Ctrl_101	101	control
NC_002516.2	1366537	1368280	control	control	-	gene	complete	443_PA1259_Ctrl_16	16	control
NC_002516.2	1372978	1373845	control	control	-	gene	complete	342_PA1264_Ctrl_9	9	control
NC_002516.2	1389706	1390228	control	control	+	gene	complete	793_PA1278_Ctrl_60	60	control
NC_002516.2	1396730	1397180	control	control	+	gene	complete	135_PA1285_Ctrl_38	38	control
NC_002516.2	1397253	1398453	control	control	+	gene	complete	881_PA1286_Ctrl_1	1	control
NC_002516.2	1407006	1407939	control	control	+	gene	complete	614_PA1296_Ctrl_62	62	control
NC_002516.2	1407950	1408931	control	control	-	gene	complete	277_PA1297_Ctrl_69	69	control
NC_002516.2	1409948	1410476	control	control	+	gene	complete	745_PA1300_Ctrl_72	72	control
NC_002516.2	1416962	1417436	control	control	+	gene	complete	271_PA1305_Ctrl_86	86	control
NC_002516.2	1429081	1431058	control	control	+	gene	complete	492_PA1318_Ctrl_110	110	control
NC_002516.2	1431690	1432026	control	control	+	gene	complete	807_PA1320_Ctrl_135	135	control
NC_002516.2	1438705	1440676	control	control	+	gene	complete	301_PA1327_Ctrl_2	2	control
NC_002516.2	1438705	1440676	control	control	+	gene	complete	450_PA1327_Ctrl_127	127	control
NC_002516.2	1442903	1444451	control	control	-	gene	complete	766_PA1331_Ctrl_46	46	control
NC_002516.2	1451718	1453392	control	control	-	gene	complete	295_PA1338_Ctrl_66	66	control
NC_002516.2	1461937	1462630	control	control	-	gene	complete	949_PA1347_Ctrl_156	156	control
NC_002516.2	1464877	1466101	control	control	+	gene	complete	946_PA1351_Ctrl_122	122	control
NC_002516.2	1470087	1470564	control	control	+	gene	complete	306_PA1357_Ctrl_80	80	control
NC_002516.2	1470579	1470978	control	control	-	gene	complete	320_PA1358_Ctrl_20	20	control
NC_002516.2	1471670	1472564	control	control	+	gene	complete	479_PA1360_Ctrl_51	51	control
NC_002516.2	1491912	1493055	control	control	+	gene	complete	545_PA1375_Ctrl_79	79	control
NC_002516.2	1496086	1496920	control	control	-	gene	complete	640_PA1379_Ctrl_57	57	control
NC_002516.2	1503567	1504581	control	control	+	gene	complete	14_PA1384_Ctrl_69	69	control
NC_002516.2	1503567	1504581	control	control	+	gene	complete	995_PA1384_Ctrl_146	146	control
NC_002516.2	1508736	1509465	control	control	+	gene	complete	733_PA1388_Ctrl_138	138	control
NC_002516.2	1524423	1524831	control	control	-	gene	complete	56_PA1401_Ctrl_49	49	control
NC_002516.2	1528802	1529561	control	control	-	gene	complete	943_PA1406_Ctrl_57	57	control
NC_002516.2	1533237	1534278	control	control	+	gene	complete	912_PA1409_Ctrl_76	76	control
NC_002516.2	1539748	1541131	control	control	-	gene	complete	887_PA1416_Ctrl_78	78	control
NC_002516.2	1539748	1541131	control	control	-	gene	complete	974_PA1416_Ctrl_12	12	control
NC_002516.2	1542821	1544213	control	control	-	gene	complete	352_PA1418_Ctrl_73	73	control
NC_002516.2	1572551	1573523	control	control	+	gene	complete	856_PA1443_Ctrl_69	69	control
NC_002516.2	1582527	1583817	control	control	+	gene	complete	46_PA1453_Ctrl_73	73	control
NC_002516.2	1583955	1584798	control	control	+	gene	complete	34_PA1454_Ctrl_110	110	control
NC_002516.2	1591285	1592176	control	control	+	gene	complete	482_PA1461_Ctrl_62	62	control
NC_002516.2	1592270	1593059	control	control	+	gene	complete	822_PA1462_Ctrl_114	114	control
NC_002516.2	1600082	1600418	control	control	-	gene	complete	682_PA1473_Ctrl_42	42	control
NC_002516.2	1605087	1607061	control	control	+	gene	complete	705_PA1480_Ctrl_69	69	control
NC_002516.2	1615894	1617085	control	control	-	gene	complete	921_PA1489_Ctrl_132	132	control
NC_002516.2	1620344	1621343	control	control	-	gene	complete	803_PA1493_Ctrl_233	233	control
NC_002516.2	1633841	1634492	control	control	-	gene	complete	411_PA1504_Ctrl_102	102	control
NC_002516.2	1634727	1635723	control	control	+	gene	complete	170_PA1505_Ctrl_57	57	control
NC_002516.2	1636328	1637696	control	control	-	gene	complete	218_PA1507_Ctrl_28	28	control
NC_002516.2	1660726	1661386	control	control	+	gene	complete	325_PA1526_Ctrl_48	48	control
NC_002516.2	1669085	1669952	control	control	-	gene	complete	591_PA1531_Ctrl_18	18	control
NC_002516.2	1672484	1673081	control	control	+	gene	complete	356_PA1534_Ctrl_15	15	control
NC_002516.2	1674364	1674904	control	control	-	gene	complete	983_PA1536_Ctrl_7	7	control
NC_002516.2	1675861	1677445	control	control	-	gene	complete	37_PA1538_Ctrl_11	11	control
NC_002516.2	1678583	1678952	control	control	-	gene	complete	148_PA1541_Ctrl_124	124	control
NC_002516.2	1678583	1678952	control	control	-	gene	complete	422_PA1541_Ctrl_124	124	control
NC_002516.2	1704792	1706103	control	control	-	gene	complete	398_PA1565_Ctrl_16	16	control
NC_002516.2	1704792	1706103	control	control	-	gene	complete	493_PA1565_Ctrl_16	16	control
NC_002516.2	1709411	1709765	control	control	-	gene	complete	953_PA1568_Ctrl_109	109	control
NC_002516.2	1711568	1712450	control	control	+	gene	complete	424_PA1570_Ctrl_92	92	control
NC_002516.2	1716681	1717023	control	control	-	gene	complete	933_PA1577_Ctrl_5	5	control
NC_002516.2	1721123	1721492	control	control	+	gene	complete	100_PA1582_Ctrl_35	35	control
NC_002516.2	1727117	1728347	control	control	+	gene	complete	157_PA1586_Ctrl_47	47	control
NC_002516.2	1730180	1731347	control	control	+	gene	complete	577_PA1588_Ctrl_95	95	control
NC_002516.2	1734826	1735063	control	control	-	gene	complete	617_PA1592_Ctrl_114	114	control
NC_002516.2	1735235	1735709	control	control	+	gene	complete	779_PA1593_Ctrl_50	50	control
NC_002516.2	1741938	1743240	control	control	-	gene	complete	893_PA1600_Ctrl_113	113	control
NC_002516.2	1746230	1746653	control	control	-	gene	complete	502_PA1603_Ctrl_55	55	control
NC_002516.2	1751673	1752891	control	control	-	gene	complete	756_PA1609_Ctrl_21	21	control
NC_002516.2	1758747	1759770	control	control	+	gene	complete	961_PA1614_Ctrl_19	19	control
NC_002516.2	1780535	1783193	control	control	+	gene	complete	248_PA1636_Ctrl_63	63	control
NC_002516.2	1787249	1788284	control	control	+	gene	complete	88_PA1642_Ctrl_1	1	control
NC_002516.2	1793018	1794740	control	control	-	gene	complete	623_PA1647_Ctrl_81	81	control
NC_002516.2	1797957	1799154	control	control	-	gene	complete	265_PA1651_Ctrl_6	6	control
NC_002516.2	1805217	1805724	control	control	+	gene	complete	141_PA1657_Ctrl_2	2	control
NC_002516.2	1814994	1815135	control	control	+	gene	complete	77_PA1664_Ctrl_38	38	control
NC_002516.2	1816854	1818186	control	control	+	gene	complete	670_PA1667_Ctrl_49	49	control
NC_002516.2	1818188	1819058	control	control	+	gene	complete	31_PA1668_Ctrl_24	24	control
NC_002516.2	1823325	1824315	control	control	+	gene	complete	144_PA1671_Ctrl_37	37	control
NC_002516.2	1842298	1842565	control	control	-	gene	complete	317_PA1692_Ctrl_12	12	control
