term	description	gene_count	genes_targeted	guide_count	FDR	contrast
GO:0044249	Cellular biosynthetic process	1047	327	761	1.99661173708675e-05	mouse vs. INOCULUM
CL:131	Translation, and Proton-transporting ATP synthase complex	143	89	128	2.0627293130261e-05	mouse vs. INOCULUM
GO:1901363	Heterocyclic compound binding	1651	268	604	2.2683530234202e-05	mouse vs. LB
GO:0046872	Metal ion binding	742	145	369	2.34551889817012e-05	mouse vs. LB
GO:0043169	Cation binding	753	146	370	2.34551889817012e-05	mouse vs. LB
GO:0003676	Nucleic acid binding	788	107	208	2.34551889817012e-05	mouse vs. LB
GO:0044085	Cellular component biogenesis	201	55	122	2.43983366020217e-05	mouse vs. LB
GO:0045229	External encapsulating structure organization	68	28	56	2.46687736689758e-05	mouse vs. INOCULUM
GO:0044281	Small molecule metabolic process	1026	229	607	2.57384729806787e-05	mouse vs. LB
GO:1901564	Organonitrogen compound metabolic process	1258	269	632	2.88252178888416e-05	mouse vs. LB
GO:0045229	External encapsulating structure organization	68	28	56	2.89768737025042e-05	mouse vs. LB
CL:601	DNA repair, and Chromosome	76	23	54	3.09121458887805e-05	mouse vs. LB
GO:0004527	Exonuclease activity	36	11	33	3.13245306362901e-05	mouse vs. INOCULUM
GO:0006139	Nucleobase-containing compound metabolic process	686	157	339	3.16739026103155e-05	mouse vs. INOCULUM
GO:0009225	Nucleotide-sugar metabolic process	25	9	19	3.18961280298174e-05	LB vs. INOCULUM
GO:0016070	RNA metabolic process	242	65	137	3.64235040656827e-05	mouse vs. LB
GO:0006260	DNA replication	50	20	44	3.64825066193531e-05	mouse vs. LB
KW-0235	DNA replication	22	14	29	3.65601403122114e-05	mouse vs. LB
GO:0006518	Peptide metabolic process	185	79	113	3.85267099310808e-05	mouse vs. LB
GO:0044271	Cellular nitrogen compound biosynthetic process	581	202	411	3.85267099310808e-05	mouse vs. LB
KW-0235	DNA replication	22	14	29	4.46030641776007e-05	mouse vs. INOCULUM
GO:0016614	Oxidoreductase activity, acting on CH-OH group of donors	98	19	66	4.56280607021196e-05	mouse vs. LB
GO:0006412	Translation	120	73	97	4.96248082324369e-05	mouse vs. INOCULUM
GO:0004527	Exonuclease activity	36	11	33	4.99098728831781e-05	mouse vs. LB
GO:0034660	ncRNA metabolic process	133	47	98	5.35603444710233e-05	mouse vs. LB
GO:1901137	Carbohydrate derivative biosynthetic process	251	90	173	5.81636011138747e-05	mouse vs. LB
GO:0004518	Nuclease activity	75	16	48	6.01410795448374e-05	mouse vs. INOCULUM
GO:0090305	Nucleic acid phosphodiester bond hydrolysis	91	16	48	6.01410795448374e-05	mouse vs. INOCULUM
GO:0006725	Cellular aromatic compound metabolic process	938	202	474	6.45777383516906e-05	mouse vs. INOCULUM
GO:0004518	Nuclease activity	75	16	48	6.62431550122448e-05	mouse vs. LB
GO:0090305	Nucleic acid phosphodiester bond hydrolysis	91	16	48	6.62431550122448e-05	mouse vs. LB
KW-0479	Metal-binding	431	121	308	6.93876196019834e-05	mouse vs. INOCULUM
CL:130	Translation, and Protein export	159	97	142	7.12174884046768e-05	mouse vs. LB
GO:0043043	Peptide biosynthetic process	156	78	110	7.12174884046768e-05	mouse vs. LB
GOCC:0071944	Cell periphery	1050	71	158	7.25324403369072e-05	mouse vs. INOCULUM
GO:0034660	ncRNA metabolic process	133	47	98	7.26678923598712e-05	mouse vs. INOCULUM
GO:0016070	RNA metabolic process	242	65	137	7.26678923598712e-05	mouse vs. INOCULUM
GO:0009156	Ribonucleoside monophosphate biosynthetic process	37	22	48	7.38499713998677e-05	LB vs. INOCULUM
GO:0009161	Ribonucleoside monophosphate metabolic process	39	23	49	7.38499713998677e-05	LB vs. INOCULUM
GO:1901265	Nucleoside phosphate binding	812	173	413	7.40144062987938e-05	mouse vs. LB
GO:0043412	Macromolecule modification	245	27	73	7.57217672952554e-05	mouse vs. LB
GO:0008299	Isoprenoid biosynthetic process	15	10	28	7.6818056954403e-05	mouse vs. INOCULUM
GO:0006720	Isoprenoid metabolic process	29	10	28	7.6818056954403e-05	mouse vs. INOCULUM
GO:1901135	Carbohydrate derivative metabolic process	354	113	228	7.94029113690259e-05	mouse vs. INOCULUM
GO:0006396	RNA processing	105	27	76	8.47411663327871e-05	mouse vs. INOCULUM
GO:1901360	Organic cyclic compound metabolic process	953	215	517	8.47411663327871e-05	mouse vs. INOCULUM
GO:0019637	Organophosphate metabolic process	294	102	228	8.90960554989566e-05	mouse vs. LB
GO:0016740	Transferase activity	842	149	373	8.90960554989566e-05	mouse vs. LB
GO:0005975	Carbohydrate metabolic process	262	49	101	9.1057070117861e-05	mouse vs. LB
GO:0006259	DNA metabolic process	185	28	69	9.13416375396223e-05	mouse vs. INOCULUM
GO:0005975	Carbohydrate metabolic process	262	49	101	9.30655560316568e-05	mouse vs. INOCULUM
GO:0008610	Lipid biosynthetic process	195	55	130	9.3242712219922e-05	mouse vs. LB
GO:0016051	Carbohydrate biosynthetic process	146	30	55	9.47650945168792e-05	mouse vs. INOCULUM
GO:0008408	3-5 exonuclease activity	19	8	22	0.00010108707609267	mouse vs. INOCULUM
GO:0140097	Catalytic activity, acting on DNA	107	21	56	0.00010488358583975	mouse vs. INOCULUM
GO:0006396	RNA processing	105	27	76	0.000109452935150057	mouse vs. LB
GOCC:0009279	Cell outer membrane	102	7	18	0.000115022700865682	mouse vs. LB
GOCC:0019867	Outer membrane	126	7	18	0.000115022700865682	mouse vs. LB
CL:2730	dTDP-rhamnose metabolic process	5	3	11	0.000115273509326022	mouse vs. INOCULUM
GO:0043412	Macromolecule modification	245	27	73	0.000118899015882371	mouse vs. INOCULUM
KW-0808	Transferase	691	146	372	0.000124688317986338	mouse vs. INOCULUM
GO:0044255	Cellular lipid metabolic process	301	60	142	0.000130638561324434	mouse vs. LB
GO:0044205	De novo UMP biosynthetic process	7	7	16	0.000131668403618922	LB vs. INOCULUM
GO:0009174	Pyrimidine ribonucleoside monophosphate biosynthetic process	8	7	16	0.000131668403618922	LB vs. INOCULUM
GO:0046049	UMP metabolic process	9	7	16	0.000131668403618922	LB vs. INOCULUM
CL:922	Isoprenoid biosynthetic process	12	9	26	0.000131700361159282	mouse vs. INOCULUM
GO:0009226	Nucleotide-sugar biosynthetic process	23	8	15	0.000133831640679842	mouse vs. INOCULUM
GO:0071944	Cell periphery	1200	91	190	0.000133831640679842	mouse vs. INOCULUM
GO:0044262	Cellular carbohydrate metabolic process	158	21	43	0.000138465320474786	mouse vs. LB
GO:1903509	Liposaccharide metabolic process	98	26	53	0.000139136922374759	mouse vs. INOCULUM
GO:0043603	Cellular amide metabolic process	265	97	167	0.000139785525075531	mouse vs. INOCULUM
GO:0006399	tRNA metabolic process	96	42	85	0.00014161786515376	mouse vs. LB
GO:0009225	Nucleotide-sugar metabolic process	25	9	19	0.000145987320128273	mouse vs. INOCULUM
GO:1901566	Organonitrogen compound biosynthetic process	645	244	575	0.000145989064922348	mouse vs. LB
GO:0043603	Cellular amide metabolic process	265	97	167	0.000148553454295245	mouse vs. LB
CL:132	Translation, and Proton-transporting ATP synthase complex	131	85	116	0.000150094978646144	mouse vs. INOCULUM
GO:0006081	Cellular aldehyde metabolic process	40	10	32	0.000156273966896777	mouse vs. INOCULUM
GO:0008408	3-5 exonuclease activity	19	8	22	0.000161059536663897	mouse vs. LB
GO:0006412	Translation	120	73	97	0.000161059536663897	mouse vs. LB
GO:0043604	Amide biosynthetic process	196	92	158	0.000161059536663897	mouse vs. LB
GO:0071944	Cell periphery	1200	91	190	0.000161059536663897	mouse vs. LB
GO:0034470	ncRNA processing	101	26	73	0.000173226371134242	mouse vs. INOCULUM
GO:0009103	Lipopolysaccharide biosynthetic process	72	15	32	0.000175676758448451	mouse vs. LB
GO:0008653	Lipopolysaccharide metabolic process	75	15	32	0.000175676758448451	mouse vs. LB
GOCC:0071944	Cell periphery	1050	71	158	0.000175676758448451	mouse vs. LB
CL:955	Lipopolysaccharide biosynthesis, and Membrane organization	53	35	65	0.000184746842588194	mouse vs. LB
CL:954	Mixed, incl. Lipopolysaccharide biosynthesis, and Membrane organization	61	35	65	0.000184746842588194	mouse vs. LB
GO:0046483	Heterocycle metabolic process	877	207	494	0.000186104447385029	mouse vs. INOCULUM
GO:0140097	Catalytic activity, acting on DNA	107	21	56	0.000186528175352962	mouse vs. LB
GO:0097367	Carbohydrate derivative binding	626	140	302	0.000186528175352962	mouse vs. LB
GO:0006261	DNA-templated DNA replication	24	15	31	0.000188460660932742	mouse vs. INOCULUM
GO:0070589	Cellular component macromolecule biosynthetic process	43	19	33	0.000188460660932742	mouse vs. INOCULUM
GO:0042546	Cell wall biogenesis	47	19	33	0.000188460660932742	mouse vs. INOCULUM
GO:0044036	Cell wall macromolecule metabolic process	50	19	33	0.000188460660932742	mouse vs. INOCULUM
KW-0472	Membrane	1405	88	187	0.000188460660932742	mouse vs. INOCULUM
KW-0963	Cytoplasm	374	156	364	0.000192350157754324	mouse vs. LB
GO:0043604	Amide biosynthetic process	196	92	158	0.000193482971927934	mouse vs. INOCULUM
GOCC:0009279	Cell outer membrane	102	7	18	0.000198780275890367	mouse vs. INOCULUM
GOCC:0019867	Outer membrane	126	7	18	0.000198780275890367	mouse vs. INOCULUM
GO:0043167	Ion binding	1392	253	613	0.000208712695724108	mouse vs. INOCULUM
KW-0055	Arginine biosynthesis	11	7	25	0.000219583797648125	mouse vs. INOCULUM
GO:0003723	RNA binding	130	54	87	0.000241040790578566	mouse vs. LB
GO:0036094	Small molecule binding	935	193	464	0.000242911183403034	mouse vs. LB
CL:131	Translation, and Proton-transporting ATP synthase complex	143	89	128	0.000244950787455368	mouse vs. LB
GO:0034470	ncRNA processing	101	26	73	0.000244950787455368	mouse vs. LB
GO:0006259	DNA metabolic process	185	28	69	0.000244950787455368	mouse vs. LB
GO:0006629	Lipid metabolic process	358	61	146	0.000247614822362574	mouse vs. LB
GO:0033692	Cellular polysaccharide biosynthetic process	119	17	33	0.000255867592953801	mouse vs. LB
GO:0034637	Cellular carbohydrate biosynthetic process	121	17	33	0.000255867592953801	mouse vs. LB
GO:0000271	Polysaccharide biosynthetic process	122	17	33	0.000255867592953801	mouse vs. LB
GO:0044264	Cellular polysaccharide metabolic process	126	17	33	0.000255867592953801	mouse vs. LB
GO:0005976	Polysaccharide metabolic process	130	17	33	0.000255867592953801	mouse vs. LB
GO:0009279	Cell outer membrane	130	9	22	0.000255867592953801	mouse vs. LB
GO:0090407	Organophosphate biosynthetic process	207	85	190	0.000255867592953801	mouse vs. LB
GO:0019867	Outer membrane	153	9	22	0.000255867592953801	mouse vs. LB
GO:0030312	External encapsulating structure	174	9	22	0.000255867592953801	mouse vs. LB
GO:0008299	Isoprenoid biosynthetic process	15	10	28	0.000256495048653765	mouse vs. LB
GO:0006720	Isoprenoid metabolic process	29	10	28	0.000256495048653765	mouse vs. LB
CL:606	DNA repair, and DNA-templated DNA replication	47	18	41	0.00026730603606392	mouse vs. LB
CL:604	DNA repair, and DNA-templated DNA replication	57	18	41	0.00026730603606392	mouse vs. LB
CL:603	DNA damage, and DNA-templated DNA replication	65	18	41	0.00026730603606392	mouse vs. LB
GO:0009451	RNA modification	77	17	46	0.000269367598886873	mouse vs. LB
GO:0006399	tRNA metabolic process	96	42	85	0.000274768227406355	mouse vs. INOCULUM
GO:0046112	Nucleobase biosynthetic process	14	8	18	0.000276408314432022	LB vs. INOCULUM
GO:0009112	Nucleobase metabolic process	47	8	18	0.000276408314432022	LB vs. INOCULUM
GOCC:0032991	Protein-containing complex	861	149	293	0.000282252387638855	mouse vs. LB
GO:0006526	Arginine biosynthetic process	12	8	29	0.000284548100654818	mouse vs. INOCULUM
GO:0046402	O antigen metabolic process	26	2	8	0.000284548100654818	mouse vs. INOCULUM
GO:0006525	Arginine metabolic process	37	8	29	0.000284548100654818	mouse vs. INOCULUM
GO:0008094	ATP-dependent activity, acting on DNA	33	10	28	0.000285276226445798	mouse vs. INOCULUM
KW-0998	Cell outer membrane	57	6	15	0.000290487709691314	mouse vs. LB
GO:0016616	Oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	77	17	58	0.000290487709691314	mouse vs. LB
GO:0006793	Phosphorus metabolic process	457	118	265	0.000293110624929818	mouse vs. LB
GO:0006261	DNA-templated DNA replication	24	15	31	0.000299194184081953	mouse vs. LB
GO:0006996	Organelle organization	89	13	32	0.000301777528230458	mouse vs. INOCULUM
CL:953	Mixed, incl. Lipopolysaccharide biosynthesis, and Membrane organization	76	36	67	0.000307237062774013	mouse vs. LB
KW-0547	Nucleotide-binding	459	124	273	0.000307237062774013	mouse vs. LB
KW-0460	Magnesium	134	63	168	0.000330698306210987	mouse vs. LB
GO:1901137	Carbohydrate derivative biosynthetic process	251	90	173	0.000344650269104298	mouse vs. INOCULUM
GOCC:0030313	Cell envelope	190	15	43	0.000350593129901651	mouse vs. INOCULUM
CL:133	Ribosome, and Translation regulator activity	112	68	95	0.000351984647859747	mouse vs. INOCULUM
GO:0009451	RNA modification	77	17	46	0.000353673289067744	mouse vs. INOCULUM
GO:1901363	Heterocyclic compound binding	1651	268	604	0.000356651317820748	mouse vs. INOCULUM
GO:0006796	Phosphate-containing compound metabolic process	431	115	263	0.000356817216806274	mouse vs. LB
CL:137	Ribosome, and Translation regulator activity	96	61	88	0.000357500010223485	mouse vs. INOCULUM
GO:0003723	RNA binding	130	54	87	0.000365548019745258	mouse vs. INOCULUM
CL:2388	Arginine biosynthesis	5	5	19	0.000366358829486798	mouse vs. INOCULUM
CL:922	Isoprenoid biosynthetic process	12	9	26	0.000374334047938553	mouse vs. LB
GOCC:0030313	Cell envelope	190	15	43	0.000374764736829138	mouse vs. LB
GO:0070567	Cytidylyltransferase activity	4	4	11	0.000376302031971966	mouse vs. INOCULUM
CL:1104	Peptidoglycan metabolic process, and Cell division site	71	29	42	0.000376302031971966	mouse vs. INOCULUM
GO:0140096	Catalytic activity, acting on a protein	351	23	58	0.000388706556250176	mouse vs. LB
KW-0133	Cell shape	27	19	32	0.00040035655798995	mouse vs. INOCULUM
CL:606	DNA repair, and DNA-templated DNA replication	47	18	41	0.000407563670575162	mouse vs. INOCULUM
CL:604	DNA repair, and DNA-templated DNA replication	57	18	41	0.000407563670575162	mouse vs. INOCULUM
CL:603	DNA damage, and DNA-templated DNA replication	65	18	41	0.000407563670575162	mouse vs. INOCULUM
KW-0998	Cell outer membrane	57	6	15	0.000407563670575162	mouse vs. INOCULUM
GO:0004659	Prenyltransferase activity	7	5	15	0.000411560060258989	mouse vs. INOCULUM
GO:0022604	Regulation of cell morphogenesis	38	21	36	0.000411560060258989	mouse vs. INOCULUM
GO:0050793	Regulation of developmental process	39	21	36	0.000411560060258989	mouse vs. INOCULUM
GO:0071702	Organic substance transport	553	32	69	0.000411560060258989	mouse vs. INOCULUM
GO:0071417	Cellular response to organonitrogen compound	2	2	6	0.000414361521316917	LB vs. INOCULUM
GO:0043649	Dicarboxylic acid catabolic process	2	1	4	0.000414361521316917	LB vs. INOCULUM
GO:0071229	Cellular response to acid chemical	3	2	6	0.000414361521316917	LB vs. INOCULUM
GO:0004514	Nicotinate-nucleotide diphosphorylase (carboxylating) activity	3	1	4	0.000414361521316917	LB vs. INOCULUM
GO:0046874	Quinolinate metabolic process	3	1	4	0.000414361521316917	LB vs. INOCULUM
GO:0071495	Cellular response to endogenous stimulus	4	2	6	0.000414361521316917	LB vs. INOCULUM
GO:0072526	Pyridine-containing compound catabolic process	5	1	4	0.000414361521316917	LB vs. INOCULUM
CL:1643	Nicotinamide-nucleotide amidase activity, and Quinolinate metabolic process	6	1	4	0.000414361521316917	LB vs. INOCULUM
GO:1901699	Cellular response to nitrogen compound	7	2	6	0.000414361521316917	LB vs. INOCULUM
GO:0009099	Valine biosynthetic process	11	4	15	0.000414361521316917	LB vs. INOCULUM
CL:1642	Pyridine nucleotide biosynthetic process, and Nucleoside transport	11	1	4	0.000414361521316917	LB vs. INOCULUM
GO:0043200	Response to amino acid	13	2	6	0.000414361521316917	LB vs. INOCULUM
GO:0006573	Valine metabolic process	16	4	15	0.000414361521316917	LB vs. INOCULUM
GO:0001101	Response to acid chemical	16	2	6	0.000414361521316917	LB vs. INOCULUM
